time,altMsl,tas,vvi,mach,ias,alpha,nx,ny,nz,x,y,z
0.000000e+00,3.028100e+02,8.222222e+01,0.000000e+00,2.424548e-01,8.103252e+01,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,-3.007327e+05,3.028100e+02,5.275517e+05
1.390000e-01,3.027877e+02,8.292944e+01,-3.712718e-01,2.445402e-01,8.172960e+01,8.457859e+00,6.942348e-01,6.034095e-01,3.670514e-06,-3.007224e+05,3.027858e+02,5.275517e+05
1.860000e-01,3.027665e+02,8.321195e+01,-5.106115e-01,2.453732e-01,8.200811e+01,8.555716e+00,6.923237e-01,6.167510e-01,2.772989e-07,-3.007185e+05,3.027645e+02,5.275517e+05
1.920000e-01,3.027634e+02,8.324713e+01,-5.276266e-01,2.454769e-01,8.204279e+01,8.567166e+00,6.918989e-01,6.182218e-01,-4.015828e-07,-3.007180e+05,3.027613e+02,5.275517e+05
1.970000e-01,3.027602e+02,8.328227e+01,-5.445597e-01,2.455806e-01,8.207745e+01,8.578405e+00,6.914155e-01,6.197016e-01,-1.049713e-06,-3.007176e+05,3.027586e+02,5.275517e+05
2.050000e-01,3.027569e+02,8.331739e+01,-5.614181e-01,2.456841e-01,8.211206e+01,8.589422e+00,6.908915e-01,6.210680e-01,-1.626066e-06,-3.007169e+05,3.027541e+02,5.275517e+05
2.210000e-01,3.027463e+02,8.342251e+01,-6.115741e-01,2.459940e-01,8.221569e+01,8.621067e+00,6.894758e-01,6.248001e-01,-3.133090e-06,-3.007156e+05,3.027444e+02,5.275516e+05
2.380000e-01,3.027347e+02,8.352734e+01,-6.611967e-01,2.463031e-01,8.231906e+01,8.650463e+00,6.881201e-01,6.279091e-01,-3.687773e-06,-3.007142e+05,3.027334e+02,5.275516e+05
2.550000e-01,3.027223e+02,8.363190e+01,-7.103762e-01,2.466115e-01,8.242217e+01,8.677450e+00,6.869477e-01,6.305216e-01,-2.308748e-06,-3.007127e+05,3.027215e+02,5.275516e+05
2.720000e-01,3.027088e+02,8.373629e+01,-7.591919e-01,2.469192e-01,8.252509e+01,8.701896e+00,6.859939e-01,6.326759e-01,4.693586e-07,-3.007113e+05,3.027088e+02,5.275516e+05
2.880000e-01,3.026994e+02,8.380580e+01,-7.915739e-01,2.471241e-01,8.259364e+01,8.716730e+00,6.855317e-01,6.338062e-01,3.781234e-06,-3.007100e+05,3.026962e+02,5.275516e+05
3.050000e-01,3.026844e+02,8.391003e+01,-8.399801e-01,2.474314e-01,8.269641e+01,8.736743e+00,6.852359e-01,6.350188e-01,1.266349e-05,-3.007085e+05,3.026819e+02,5.275516e+05
3.210000e-01,3.026685e+02,8.401429e+01,-8.882316e-01,2.477388e-01,8.279924e+01,8.754021e+00,6.855296e-01,6.360350e-01,2.357520e-05,-3.007072e+05,3.026677e+02,5.275516e+05
3.380000e-01,3.026517e+02,8.411871e+01,-9.363199e-01,2.480467e-01,8.290222e+01,8.768493e+00,6.864271e-01,6.370568e-01,3.657025e-05,-3.007058e+05,3.026517e+02,5.275516e+05
3.550000e-01,3.026400e+02,8.418848e+01,-9.682997e-01,2.482524e-01,8.297103e+01,8.776577e+00,6.873571e-01,6.375189e-01,4.948547e-05,-3.007043e+05,3.026352e+02,5.275516e+05
3.710000e-01,3.026217e+02,8.429343e+01,-1.016187e+00,2.485618e-01,8.307452e+01,8.786391e+00,6.892120e-01,6.379996e-01,7.395304e-05,-3.007030e+05,3.026186e+02,5.275516e+05
3.880000e-01,3.026024e+02,8.439882e+01,-1.063979e+00,2.488726e-01,8.317848e+01,8.793494e+00,6.916264e-01,6.384626e-01,9.953079e-05,-3.007016e+05,3.026003e+02,5.275516e+05
4.050000e-01,3.025822e+02,8.450478e+01,-1.111669e+00,2.491850e-01,8.328299e+01,8.797955e+00,6.946328e-01,6.388627e-01,1.285065e-04,-3.007001e+05,3.025811e+02,5.275516e+05
4.220000e-01,3.025612e+02,8.461142e+01,-1.159302e+00,2.494993e-01,8.338816e+01,8.799891e+00,6.982167e-01,6.388920e-01,1.672265e-04,-3.006987e+05,3.025612e+02,5.275516e+05
4.380000e-01,3.025466e+02,8.468295e+01,-1.191041e+00,2.497102e-01,8.345871e+01,8.799850e+00,7.008978e-01,6.388665e-01,1.941673e-04,-3.006973e+05,3.025418e+02,5.275516e+05
4.550000e-01,3.025240e+02,8.479094e+01,-1.238616e+00,2.500286e-01,8.356524e+01,8.797882e+00,7.052990e-01,6.388584e-01,2.347501e-04,-3.006959e+05,3.025203e+02,5.275516e+05
4.720000e-01,3.025005e+02,8.489985e+01,-1.286149e+00,2.503497e-01,8.367267e+01,8.793736e+00,7.100870e-01,6.387516e-01,2.816623e-04,-3.006944e+05,3.024979e+02,5.275516e+05
4.880000e-01,3.024761e+02,8.500975e+01,-1.333694e+00,2.506737e-01,8.378107e+01,8.787580e+00,7.151877e-01,6.383108e-01,3.389544e-04,-3.006931e+05,3.024761e+02,5.275516e+05
5.050000e-01,3.024594e+02,8.508360e+01,-1.365401e+00,2.508914e-01,8.385391e+01,8.782437e+00,7.187358e-01,6.380579e-01,3.747556e-04,-3.006916e+05,3.024525e+02,5.275516e+05
5.220000e-01,3.024335e+02,8.519525e+01,-1.412969e+00,2.512205e-01,8.396407e+01,8.773265e+00,7.242365e-01,6.377288e-01,4.295320e-04,-3.006902e+05,3.024278e+02,5.275516e+05
5.380000e-01,3.024067e+02,8.530802e+01,-1.460560e+00,2.515530e-01,8.407531e+01,8.762476e+00,7.298895e-01,6.371735e-01,4.971526e-04,-3.006888e+05,3.024038e+02,5.275516e+05
5.550000e-01,3.023791e+02,8.542192e+01,-1.508216e+00,2.518888e-01,8.418768e+01,8.750242e+00,7.356257e-01,6.364558e-01,5.689103e-04,-3.006874e+05,3.023775e+02,5.275516e+05
5.710000e-01,3.023601e+02,8.549850e+01,-1.540019e+00,2.521145e-01,8.426323e+01,8.741357e+00,7.394693e-01,6.360373e-01,6.143647e-04,-3.006860e+05,3.023524e+02,5.275516e+05
5.880000e-01,3.023310e+02,8.561430e+01,-1.587768e+00,2.524560e-01,8.437749e+01,8.727032e+00,7.452260e-01,6.354798e-01,6.852810e-04,-3.006846e+05,3.023246e+02,5.275516e+05
6.050000e-01,3.023010e+02,8.573127e+01,-1.635591e+00,2.528008e-01,8.449287e+01,8.711647e+00,7.509279e-01,6.347250e-01,7.676137e-04,-3.006831e+05,3.022961e+02,5.275516e+05
6.210000e-01,3.022701e+02,8.584936e+01,-1.683516e+00,2.531489e-01,8.460939e+01,8.695360e+00,7.565421e-01,6.339856e-01,8.469593e-04,-3.006817e+05,3.022684e+02,5.275516e+05
6.380000e-01,3.022383e+02,8.596856e+01,-1.731534e+00,2.535003e-01,8.472701e+01,8.678307e+00,7.620218e-01,6.333372e-01,9.249140e-04,-3.006803e+05,3.022383e+02,5.275516e+05
6.550000e-01,3.022166e+02,8.604864e+01,-1.763594e+00,2.537364e-01,8.480602e+01,8.666570e+00,7.655745e-01,6.328789e-01,9.845515e-04,-3.006788e+05,3.022078e+02,5.275516e+05
6.710000e-01,3.021833e+02,8.616964e+01,-1.811782e+00,2.540931e-01,8.492541e+01,8.648528e+00,7.707351e-01,6.320688e-01,1.078000e-03,-3.006774e+05,3.021779e+02,5.275516e+05
6.880000e-01,3.021492e+02,8.629167e+01,-1.860096e+00,2.544528e-01,8.504582e+01,8.630081e+00,7.756948e-01,6.312885e-01,1.165923e-03,-3.006760e+05,3.021455e+02,5.275516e+05
7.050000e-01,3.021142e+02,8.641470e+01,-1.908518e+00,2.548155e-01,8.516722e+01,8.611340e+00,7.804543e-01,6.306803e-01,1.254846e-03,-3.006745e+05,3.021123e+02,5.275516e+05
7.210000e-01,3.020904e+02,8.649726e+01,-1.940859e+00,2.550589e-01,8.524868e+01,8.598738e+00,7.835127e-01,6.302682e-01,1.318799e-03,-3.006731e+05,3.020807e+02,5.275516e+05
7.380000e-01,3.020540e+02,8.662186e+01,-1.989484e+00,2.554262e-01,8.537163e+01,8.579773e+00,7.879261e-01,6.295233e-01,1.417046e-03,-3.006716e+05,3.020460e+02,5.275515e+05
7.550000e-01,3.020166e+02,8.674738e+01,-2.038235e+00,2.557962e-01,8.549549e+01,8.560829e+00,7.921408e-01,6.289110e-01,1.509232e-03,-3.006702e+05,3.020105e+02,5.275515e+05
7.720000e-01,3.019784e+02,8.687376e+01,-2.087088e+00,2.561687e-01,8.562019e+01,8.541999e+00,7.961626e-01,6.284744e-01,1.604904e-03,-3.006687e+05,3.019743e+02,5.275515e+05
7.880000e-01,3.019393e+02,8.700095e+01,-2.136052e+00,2.565437e-01,8.574572e+01,8.523387e+00,7.999977e-01,6.279368e-01,1.706937e-03,-3.006673e+05,3.019393e+02,5.275515e+05
8.050000e-01,3.019128e+02,8.708620e+01,-2.168760e+00,2.567950e-01,8.582985e+01,8.511151e+00,8.024648e-01,6.276057e-01,1.770267e-03,-3.006658e+05,3.019020e+02,5.275515e+05
8.210000e-01,3.018723e+02,8.721471e+01,-2.217906e+00,2.571738e-01,8.595668e+01,8.493121e+00,8.060479e-01,6.272467e-01,1.863595e-03,-3.006644e+05,3.018656e+02,5.275515e+05
8.380000e-01,3.018308e+02,8.734398e+01,-2.267126e+00,2.575549e-01,8.608425e+01,8.475538e+00,8.095056e-01,6.270092e-01,1.963805e-03,-3.006629e+05,3.018263e+02,5.275515e+05
8.550000e-01,3.017885e+02,8.747397e+01,-2.316427e+00,2.579381e-01,8.621253e+01,8.458491e+00,8.128558e-01,6.267192e-01,2.063209e-03,-3.006615e+05,3.017862e+02,5.275515e+05
8.710000e-01,3.017599e+02,8.756103e+01,-2.349336e+00,2.581947e-01,8.629846e+01,8.447463e+00,8.150448e-01,6.265848e-01,2.125880e-03,-3.006601e+05,3.017481e+02,5.275515e+05
8.880000e-01,3.017161e+02,8.769219e+01,-2.398739e+00,2.585813e-01,8.642792e+01,8.431474e+00,8.182836e-01,6.265801e-01,2.218910e-03,-3.006586e+05,3.017065e+02,5.275515e+05
9.050000e-01,3.016715e+02,8.782406e+01,-2.448165e+00,2.589700e-01,8.655806e+01,8.416194e+00,8.214867e-01,6.266429e-01,2.315152e-03,-3.006571e+05,3.016642e+02,5.275515e+05
9.220000e-01,3.016260e+02,8.795659e+01,-2.497614e+00,2.593607e-01,8.668889e+01,8.401690e+00,8.246802e-01,6.267429e-01,2.406593e-03,-3.006556e+05,3.016210e+02,5.275515e+05
